"","control1","control2","control3","control4","case1","case2","case3"
"ZNF304",5.36407870763957,5.94303782228643,5.58699397420296,5.70414270752278,6.77966844262061,6.95778164888274,7.29061771085031
"SPC25",6.57100859446459,7.16474149060426,6.76663023460297,6.64833598872206,4.9144215498204,5.56192682517761,5.33490024569891
"PTK2",7.77858224126435,8.25378186119242,7.73552145543949,7.8473754610451,6.16225545910441,6.48126793449106,6.32655281824607
"CNOT6",7.91388144455436,8.1435525915332,8.22041659171025,8.03397619438749,6.31802943143063,7.06222986622987,7.06734717756104
"HEG1",9.24988645747177,9.49755821375434,8.97538146153925,8.80086023644918,6.50821746082903,7.11261876766814,7.11015492315544
"MRTFB",7.90119959224764,8.08998776798881,7.79771757472212,7.4914042106875,5.92161794385144,6.39389797992716,6.741596882444
"MTUS1",8.66670930085147,8.2028746743628,7.94750909388998,8.30126766943836,6.80529811387015,7.01533462116974,7.01897195816843
"MRTFA",7.67026221462248,7.27233281421539,7.77455895128131,7.77592896253396,6.5196000785278,6.49054341226555,6.71550894055739
"PTPRK",9.66237267117788,9.73607825152596,9.49733378251867,9.57655650837392,7.07021651044922,7.57703126210712,6.79881457507435
"BARD1",8.06529508415205,8.39339353618245,8.44219180688019,8.42369166534379,6.98311376092995,7.39829421700621,7.48400057573332
"RAB2A",8.77410955391868,9.44073808901079,9.24825161581528,8.76846663751507,7.68522486128115,8.10030745312963,8.13718410901221
"RABIF",6.40670852445157,6.79971906758544,6.40766883364195,6.82518308838866,7.67399098534646,7.62296162932926,7.70540565744088
"RAP1B",10.2034541098052,10.4574213168357,10.5423865654265,10.4490257994063,8.92003612123879,9.49572218289547,9.5191196514537
"RASA1",8.24558480675938,8.7120162113261,8.65501501813731,8.58132276057816,5.9841220275329,6.4314800700452,6.70265819081015
"RB1",5.80633651149664,7.22220675944229,6.38305933336541,6.12749035772723,4.21310517236975,4.6014827215885,4.70950600437014
"KDM5A",7.8172893899295,7.75523144682298,8.12110397706524,7.96094975697174,6.3474863484546,6.97842544610368,7.1086705814753
"RBMS1",9.85127174675103,9.52844041879747,9.78007483116295,9.59431554623963,7.26850457387112,7.75110478316211,7.69103699188987
"RDX",7.27387095326705,7.61803453925339,6.40881447951933,6.44046909065436,5.68884000267025,5.70471901956116,5.53312446934416
"RFC3",9.23084051022046,9.50897201432948,9.90100569651027,9.49700125249127,8.06613572372023,8.79431342796277,8.62824268679696
"RGS2",8.40918513145566,7.58320154269193,7.47305050055628,8.10842029090598,9.12632513689896,9.31286762604173,9.70992208796401
"BRD2",9.1246975767462,8.5241350823384,8.95347387955322,9.1617333388247,9.82760750710628,10.3154086300605,10.404866451709
"CCDC90B",7.84858763061028,8.4079674122081,7.8567177198494,7.98570855103268,7.07619769421865,6.81243138337638,6.95363207453455
"FASTKD5",7.71124217764379,7.60982302818956,7.40043375790632,7.72188095391683,8.61648898211632,8.64848908976047,8.86403123465521
"ROCK1",8.13378090754927,8.82449094077514,8.46597799196153,8.46982233045468,6.46505326952358,7.29702169546445,7.15152678426055
"MRPS12",5.87239596865017,5.91890348334477,6.01992129453861,6.26484633754615,6.75472330707016,6.64069413341784,7.73794880653928
"RPS6KA2",7.88857426268722,7.46235464230854,8.09512906261779,7.78637279985979,6.07497373665107,6.45693739696009,6.54509367671122
"RPS6KA3",7.94700366374376,8.14414116147254,7.63968752696305,7.58638683422144,6.60348643651202,6.96555438802252,6.64256746933547
"RREB1",6.94144274455704,6.65229724467265,6.55357245761528,6.78397780922864,5.20399536983334,5.45895207255755,5.7160484472479
"RRM2",9.37723985737135,10.430670658456,10.1205928976584,9.63780749611814,8.54834427028084,8.98873375989716,8.73541604377988
"CLIP1",7.31433244190425,8.059584350676,7.60929104408634,7.20110491645673,6.00154061882843,6.15173211481522,6.10068223227877
"SAT1",7.17301391336323,7.73664897128646,6.69246694303742,6.28992149109533,9.98423144034024,9.54393731372929,10.1046238052543
"ATXN1",5.74246549938164,5.87701604454375,5.59909865049069,5.61838829204006,3.36760261559083,3.63963949444862,4.0735388374603
"ATXN2",7.99505257288758,7.7309786539133,8.13947257305455,7.94046924687409,7.30183160738212,6.48722607665333,7.01112625896416
"SCML1",7.05470104439894,7.60688777225959,7.5459165053897,7.5120003559206,8.43300944519989,8.23050806570992,8.85853049171484
"CCL20",4.95290067555013,4.93286247856278,4.80897786628902,4.80575385671529,6.06681245337715,6.62595642359573,6.05154552830191
"SDC4",8.70046121482564,8.23046578944419,8.22057461483718,7.89172680497738,9.81127622330666,9.9184076412476,10.4341477616018
"TSPYL2",8.40943380300139,8.23776914260107,8.41397186769702,8.43156357256889,9.33461464376562,9.14275311131258,9.78328653550141
"MOAP1",7.23366992760128,7.55733562911336,7.05576985335472,7.08121782081259,8.73284739665305,7.92155237790442,8.3579847332023
"NCAPG",7.66232010983188,8.04402530255277,8.10629150195989,7.65566208756429,6.53111766081183,6.89027801817271,6.74474120130303
"MAP2K4",7.31711379303658,7.48019645554859,7.49471975861429,7.46300393043733,5.90473360234762,6.37687540687974,6.32027867914722
"SFPQ",5.32200500428024,5.80433313076886,5.92329177951171,5.89935228929179,6.4870183929683,7.13334976964472,7.52072730870638
"SRSF3",7.45828011636025,8.2338665024978,8.31161573439901,7.71781684452916,6.20771822053162,7.07443530713497,7.00517863952313
"SRSF7",7.09856549627229,7.62817003105614,8.21582247899872,8.06682280327481,8.42595579056057,9.36381678344202,9.29105800171445
"TMEM168",6.98736543474373,7.14489201496948,6.89457653561412,6.93556181928905,5.34110974440986,6.08204663853883,6.45088085182354
"ITSN1",5.53266467828393,5.58193821847617,5.58451418210984,5.27477431832876,3.55103515688984,3.57234282633146,4.42576284795318
"SH3GL2",6.19403775231716,6.17408888375469,5.9345201923084,5.76956169869715,4.75121030143409,5.03873840753781,4.75054004063466
"TNS3",8.40908541804703,8.88066090877678,9.17856463150985,8.77222525450169,6.21434582802573,6.56876360149744,6.13902252614202
"CREB3L2",9.22092955425155,9.03381816168856,9.09100767552492,9.03134897933957,7.07859320456689,7.54707135302442,7.70772210309787
"FNDC3B",9.24906350571008,9.2058672316455,8.47307490837704,8.71648168357793,6.50977055922072,6.72882873489071,6.42354342078927
"CRTC3",9.51682272869666,9.49347250259194,9.85321672679428,9.69036448862728,8.06671767139824,8.32859782025785,8.34869900998928
"IFT22",5.40948774509563,5.63744373614122,5.8205603041993,5.50150144074175,6.75296132373431,6.89881038516712,6.87381463403039
"DCLRE1B",7.34840238396805,7.82560439825648,7.68450885159118,7.66260824440713,8.86797969104899,8.93851255204227,8.7522768890534
"SLC1A1",7.99192507465954,8.49437178444309,8.02370769076,8.44937404257274,6.58576288543248,6.68437990672916,7.21987890813105
