"","control1","control2","control3","control4","case1","case2","case3"
"202624_s_at",7.29373554748394,6.72858856777208,7.02828499065311,7.20339766275525,7.13869283821832,7.15790278536537,7.10705862002725
"202625_at",4.81590373775116,5.43514008864783,4.9667053252838,5.11668580788115,4.18414063906909,4.19874336554121,4.36107919514535
"202626_s_at",6.89976081579491,6.85957867723648,6.99574381474383,6.98854156271655,5.99518959317434,6.11790776131969,6.27029433492554
"202627_s_at",9.29638805999942,8.61626553326384,8.80788870797607,8.18756420907958,8.51329719104758,8.80015828187868,8.2249707407002
"202628_s_at",8.71684829633342,7.84883161201005,8.85500963872419,7.46731588344509,7.65922986979759,8.66511765661266,7.73515514218838
"202629_at",7.47904170869522,7.59841398098699,7.35220638279674,7.35220638279674,6.90544693872682,7.10079712818028,7.2727719807054
"202630_at",4.92037952470442,5.00208312002938,4.96402911351785,5.0755992213266,4.5978043125859,4.73922914543603,4.59862211941474
"202631_s_at",6.64429959094814,6.9266693176897,6.48310934439464,6.63612794164139,6.15630972282204,6.45520021184779,6.25443159081557
"202632_at",9.45838931853456,9.30390713867528,9.46025680932668,9.74564083643486,9.52343888215223,9.80281196929223,9.70148254270875
"202633_at",8.34826461546376,8.9822857689061,8.52390244579935,8.17548715420262,6.74827813247167,7.13181370364739,7.3481723506886
"202634_at",7.54341749479106,7.85205722641928,7.73379506745792,7.25937271947243,8.04006306072733,8.35096921138046,8.46419222156644
"202635_s_at",8.9274077697395,9.1293454531607,8.94860540107785,8.92716863872026,9.36198160882433,9.75039016330783,9.582147479088
"202636_at",8.14930614136272,8.34433428006847,7.87852929392576,8.04256657146557,8.8754906940161,8.88295307456772,8.76371531804641
"202637_s_at",7.39312749703886,7.33648808279394,7.25986507837423,7.14491838793494,7.72368229099364,7.51564181646838,7.35529206299158
"202638_s_at",5.8042989431165,5.59658440993217,5.94449744348806,5.4644569844034,6.2551212276066,6.33700980370573,6.14435916010848
"202639_s_at",7.57714849720523,7.49587950142625,7.71391229537151,7.87036415773495,7.42098200135349,7.79663911861277,7.54195729376529
"202640_s_at",7.6252216369511,7.59876453640062,7.59444245722248,7.72238648310142,7.35305449576457,7.41956476490535,7.59444245722248
"202641_at",8.30995064083513,8.60369582475141,8.51002433410861,8.52024755533483,8.52024755533483,8.52015413408547,8.5816097683289
"202642_s_at",7.87685383732511,7.80695049693853,7.64789306802828,7.90215185165607,6.74212508098177,6.76289089794914,6.36354134646892
"202643_s_at",7.22692785955276,6.98018376408456,6.16744960610058,6.47716551381586,7.54707135302442,8.21556048694007,7.77861750379701
"202644_s_at",7.9529163566768,8.12900262748683,7.37644671262842,7.27158400009535,8.39775654398561,8.73021025883079,8.63769123545389
"202645_s_at",8.31350533824209,8.08245397537753,8.47154456285528,8.32158058910255,8.84085200954153,8.85880715904751,8.99710979535107
"202646_s_at",9.94552592165058,9.77962620576107,9.919365731868,9.94950585834818,9.919365731868,9.919365731868,10.2390818612148
