"","control1","control2","control3","control4","case1","case2","case3"
"208721_s_at",8.60640172294218,8.18958492048147,7.91676296418477,8.23500246282439,8.1920756239389,8.68679946119699,7.64118646822699
"204491_at",8.91682882575716,9.02596670978477,8.77979462290604,8.96560311622669,7.05318843665798,7.61944648304737,7.3869309974894
"218192_at",7.97463347493582,8.01911401074868,7.94861848996553,8.09536726448311,9.09280622457507,9.15419594351325,9.28436030484264
"204237_at",7.0336755376042,7.84447617184198,7.7741979445315,7.18918681657135,5.58042228454343,6.19256999620501,6.04977028147434
"218428_s_at",5.4955640906445,5.66016586779491,5.74006628454118,6.06357145395781,4.71797293587668,5.2833147760266,5.96882843267661
"213370_s_at",7.17148101561663,7.27695850605752,7.3727455488898,7.3927596222848,6.5249922851949,6.96086312354001,6.77173683426491
"217826_s_at",7.04484688322327,6.91543232727276,5.8549960630079,6.33493845949588,5.91972058757306,6.2153036888162,6.02378301316798
"203023_at",8.1992559731255,8.31032746673904,8.59012264103579,8.46711988432834,8.75853646769161,9.47787164011195,9.66893912028284
"217777_s_at",9.562603652369,9.62843605333758,9.12521972025187,8.76477727360917,9.3355893789327,9.41880450908112,8.95598064029343
"218403_at",9.46622428232342,9.62802223357695,9.41966234647202,9.66492745506162,10.3854403606648,10.3923927231981,10.5063606378644
"212522_at",7.91925537749678,8.47101351891226,8.46242844233972,8.15612483083299,6.77358907592313,7.19789599555233,7.16804986661497
"204318_s_at",8.38135852144092,7.93070398138345,8.64912585581085,8.45037896025203,6.96962093858253,7.58267752423127,7.8410618706484
"218585_s_at",8.68969619710689,9.36105708126096,9.23375915855428,8.94358935308494,7.21036537272325,7.98315513586185,7.92622017047297
"209020_at",8.22006977317173,8.11088259704057,8.40667608367846,8.39238850228378,8.70221325692469,8.9657439844533,9.10646699581499
"218423_x_at",6.90122250758137,7.04629519317286,6.95462937448812,7.1724038175343,6.02221055320609,6.22706356805898,6.17433807733209
"200927_s_at",9.38016771051672,9.54405056285099,9.44484460374402,9.09285556148603,8.18470571550698,8.77049189277204,8.80617714301577
"217916_s_at",8.775097826791,9.25722082970884,9.31191413820976,9.14453599655577,8.06111874761837,8.41594288424393,8.36426947997615
"212785_s_at",8.01629932383187,8.00804812558104,7.48423475703139,7.86493639745907,7.09064422389467,7.10261242031046,7.26688869672954
"218859_s_at",6.52954414519477,6.38921229042734,6.38921229042734,6.51481073893132,5.79421698115177,6.27901321571193,6.51921035982288
"212461_at",7.41297984701198,8.07149232907147,7.85679055630431,7.5205823403029,6.51363865635068,7.07486041089646,7.0137183282405
"222175_s_at",8.32911234015234,7.62587633230187,8.26088886828637,8.07277731444023,7.45842288829911,7.82430322445472,7.82430322445472
"212435_at",7.30817386297745,8.07612739268711,7.66681796417911,7.59612245086034,6.39788214706023,6.86573241683832,6.97302861674618
"205571_at",5.3349134009944,5.09111280337669,5.10098391438458,5.562456163776,5.99316165917448,5.87571644060578,6.45927028362909
"221504_s_at",8.52878451842103,8.54797224073516,8.26903671684906,8.28781478019646,7.66225284488598,7.36753182108596,7.51700624298322
"221618_s_at",6.86240616354676,7.18975097694814,5.98948475832349,5.53358416597834,6.71201287272393,7.12495271154188,5.03653883303428
"219878_s_at",7.73889216750295,6.24394916188311,6.83016403061414,6.81279391927145,5.99136360446648,6.58103587669245,6.67806733961413
"218732_at",9.07881058754142,9.00539688163843,9.01053230588209,9.20790697009503,9.20639227079121,9.9210286119795,9.72372285169348
"205960_at",7.95356038685688,6.96361129296588,5.84207061505301,6.38601020222453,5.53402399866867,5.24591428761533,5.19973577394006
"213286_at",7.89383066925227,7.62414759182465,7.61742319895666,7.29531012236385,7.32569670701509,7.97824627058715,7.02056577221838
"205429_s_at",7.2850233839308,7.29595926496655,7.03057133559042,7.50707029141806,6.33251587118753,6.72519321763879,6.55177891017094
"204559_s_at",8.90621094068233,8.84895785032321,9.09160936452605,9.33647941655573,9.06543134139479,9.72105477860791,9.81234306899863
"219119_at",9.25754291741685,9.741671512329,9.58287032096102,9.47493868790867,8.69355373022243,9.00270042525046,8.84507599829395
"204524_at",8.10812393654274,7.49947625056734,7.85483137584685,8.22086922708461,6.85060455794097,7.61730588786064,7.54079202353631
"203632_s_at",6.23743167295541,6.38403760036653,6.33990900841802,6.35145301446487,6.96162132853934,7.47290607175519,7.1447954299052
